2016 National Popular Vote Tracker : Overall Vote%s,,,,,,,,,,,,,
,A,B,C,D,E,F,G,H,I,J,K,L,M
1,2016 National Popular Vote Tracker,,,,,,,,,,,,
2,"Compiled from official sources by: David Wasserman @Redistrict, Cook Political Report @CookPolitical",,,,,,,,,,,,
3,"*Denotes Official/Certified Results; ""Swing State"" defined as state that flipped from '12 or was decided by less than 5%.",,,,,,,,,,,,
4,,,,,,,,,,,,,
5,State,Clinton (D),Trump (R),Others,Clinton %,Trump %,Others %,Dem '12 Margin,Dem '16 Margin,Margin Shift,Total '12 Votes,Total '16 Votes,Raw Votes vs. '12
34,Georgia*,1877963,2089104,125306,0.459,0.510,0.031,-0.078,-0.052,0.027,3900050,4092373,0.049
35,Hawaii*,266891,128847,33199,0.622,0.300,0.077,0.427,0.322,-0.105,434697,428937,-0.013
36,Idaho*,189765,409055,91435,0.275,0.593,0.132,-0.319,-0.318,0.001,652274,690255,0.058
37,Illinois*,3090729,2146015,299680,0.558,0.388,0.054,0.169,0.171,0.002,5242014,5536424,0.056
38,Indiana*,1033126,1557286,144546,0.378,0.569,0.053,-0.102,-0.192,-0.090,2624534,2734958,0.042
39,Kansas*,427005,671018,86379,0.361,0.567,0.073,-0.217,-0.206,0.011,1159971,1184402,0.021
40,Kentucky*,628854,1202971,92324,0.327,0.625,0.048,-0.227,-0.298,-0.071,1797212,1924149,0.071
41,Louisiana*,780154,1178638,70240,0.384,0.581,0.035,-0.172,-0.196,-0.024,1994065,2029032,0.018
42,Maryland*,1677928,943169,160349,0.603,0.339,0.058,0.261,0.264,0.003,2707327,2781446,0.027
43,Massachusetts*,1995196,1090893,238957,0.600,0.328,0.072,0.231,0.272,0.041,3167767,3325046,0.050
44,Mississippi*,485131,700714,23512,0.401,0.579,0.019,-0.115,-0.178,-0.063,1285584,1209357,-0.059
45,Missouri*,1071068,1594511,143026,0.381,0.568,0.051,-0.094,-0.186,-0.093,2757323,2808605,0.019
46,Montana*,177709,279240,40198,0.357,0.562,0.081,-0.137,-0.204,-0.068,484048,497147,0.027
47,Nebraska*,284494,495961,63772,0.337,0.587,0.076,-0.218,-0.250,-0.033,794379,844227,0.063
48,New Jersey*,2148278,1601933,123835,0.555,0.414,0.032,0.178,0.141,-0.037,3640292,3874046,0.064
49,New Mexico*,385234,319666,93418,0.483,0.400,0.117,0.101,0.082,-0.019,783758,798318,0.019
50,New York*,4556124,2819534,345795,0.590,0.365,0.045,0.282,0.225,-0.057,7072083,7721453,0.092
51,North Dakota*,93758,216794,33808,0.272,0.630,0.098,-0.196,-0.357,-0.161,322932,344360,0.066
52,Oklahoma*,420375,949136,83481,0.289,0.653,0.057,-0.335,-0.364,-0.028,1334872,1452992,0.088
53,Oregon*,1002106,782403,216827,0.501,0.391,0.108,0.121,0.110,-0.011,1789270,2001336,0.119
54,Rhode Island*,252525,180543,31076,0.544,0.389,0.067,0.275,0.155,-0.119,446049,464144,0.041
55,South Carolina*,855373,1155389,92265,0.407,0.549,0.044,-0.105,-0.143,-0.038,1964118,2103027,0.071
56,South Dakota*,117458,227721,24914,0.317,0.615,0.067,-0.180,-0.298,-0.118,363815,370093,0.017
57,Tennessee*,870695,1522925,114407,0.347,0.607,0.046,-0.204,-0.260,-0.056,2458577,2508027,0.020
58,Texas*,3877868,4685047,406311,0.432,0.522,0.045,-0.158,-0.090,0.068,7993851,8969226,0.122
59,Utah*,310676,515231,305523,0.275,0.455,0.270,-0.480,-0.181,0.300,1017440,1131430,0.112
60,Vermont*,178573,95369,41125,0.567,0.303,0.131,0.356,0.264,-0.092,299290,315067,0.053
61,Virginia*,1981473,1769443,231836,0.498,0.444,0.058,0.039,0.053,0.015,3854489,3982752,0.033
62,Washington*,1742718,1221747,401179,0.518,0.363,0.119,0.149,0.155,0.006,3125516,3365644,0.077
63,West Virginia*,188794,489371,34886,0.265,0.686,0.049,-0.268,-0.422,-0.154,670438,713051,0.064
64,Wyoming*,55973,174419,25457,0.219,0.682,0.100,-0.408,-0.463,-0.055,249061,255849,0.027
